Departure Time,# of departures,Travel Time (min),Arrival Time,# of arrivals
12:00:00 AM,546,23.7,12:23:12 AM,546
1:00:00 AM,1092,23.7,1:23:12 AM,1092
2:00:00 AM,1638,23.7,2:23:12 AM,1638
3:00:00 AM,2184,23.7,3:23:12 AM,2184
4:00:00 AM,2730,23.7,4:23:12 AM,2730
5:00:00 AM,3276,23.7,5:23:12 AM,3276
6:00:00 AM,3822,23.7,6:23:12 AM,3822
7:00:00 AM,4368,23.7,7:23:12 AM,4368
8:00:00 AM,4914,23.7,8:23:12 AM,4914
9:00:00 AM,5460,23.7,9:23:12 AM,5460
10:00:00 AM,6006,23.7,10:23:12 AM,6006
11:00:00 AM,6552,23.7,11:23:12 AM,6552
12:00:00 PM,7098,23.7,12:23:12 PM,7098
1:00:00 PM,7644,23.7,1:23:12 PM,7644
2:00:00 PM,8190,23.7,2:23:12 PM,8190
3:00:00 PM,8736,23.7,3:23:12 PM,8736
4:00:00 PM,9282,23.7,4:23:12 PM,9282
5:00:00 PM,9828,23.7,5:23:12 PM,9828
6:00:00 PM,10374,23.7,6:23:12 PM,10374
7:00:00 PM,10920,23.7,7:23:12 PM,10920
8:00:00 PM,11466,23.7,8:23:12 PM,11466
9:00:00 PM,12012,23.7,9:23:12 PM,12012
10:00:00 PM,12558,23.7,10:23:12 PM,12558
11:00:00 PM,13104,23.7,11:23:12 PM,13104
