Departure Time,# of departures,Travel Time (min),Arrival Time,# of arrivals
12:00:00 AM,711,23.5,12:23:12 AM,711
1:00:00 AM,1657,23.5,1:23:12 AM,1657
2:00:00 AM,2603,23.5,2:23:12 AM,2603
3:00:00 AM,3549,23.5,3:23:12 AM,3549
4:00:00 AM,4495,23.5,4:23:12 AM,4495
5:00:00 AM,5441,23.5,5:23:12 AM,5441
6:00:00 AM,6387,23.5,6:23:12 AM,6387
7:00:00 AM,7333,23.5,7:23:12 AM,7333
8:00:00 AM,8279,23.5,8:23:12 AM,8279
9:00:00 AM,9225,23.5,9:23:12 AM,9225
10:00:00 AM,10171,23.5,10:23:12 AM,10171
11:00:00 AM,11117,23.5,11:23:12 AM,11117
12:00:00 PM,12063,23.5,12:23:12 PM,12063
1:00:00 PM,13009,23.5,1:23:12 PM,13009
2:00:00 PM,13955,23.5,2:23:12 PM,13955
3:00:00 PM,14901,23.5,3:23:12 PM,14901
4:00:00 PM,15847,23.5,4:23:12 PM,15847
5:00:00 PM,16793,23.5,5:23:12 PM,16793
6:00:00 PM,17739,23.5,6:23:12 PM,17739
7:00:00 PM,18685,23.5,7:23:12 PM,18685
8:00:00 PM,19631,23.5,8:23:12 PM,19631
9:00:00 PM,20577,23.5,9:23:12 PM,20577
10:00:00 PM,21523,23.5,10:23:12 PM,21523
11:00:00 PM,22469,23.5,11:23:12 PM,22469
