Departure Time,# of departures,Travel Time (min),Arrival Time,# of arrivals
12:00:00 AM,186,24.4,12:24:12 AM,186
1:00:00 AM,1132,24.4,1:24:12 AM,1132
2:00:00 AM,2078,24.4,2:24:12 AM,2078
3:00:00 AM,3024,24.4,3:24:12 AM,3024
4:00:00 AM,3970,24.4,4:24:12 AM,3970
5:00:00 AM,4916,24.4,5:24:12 AM,4916
6:00:00 AM,5862,24.4,6:24:12 AM,5862
7:00:00 AM,6808,24.4,7:24:12 AM,6808
8:00:00 AM,7754,24.4,8:24:12 AM,7754
9:00:00 AM,8700,24.4,9:24:12 AM,8700
10:00:00 AM,9646,24.4,10:24:12 AM,9646
11:00:00 AM,10592,24.4,11:24:12 AM,10592
12:00:00 PM,11538,24.4,12:24:12 PM,11538
1:00:00 PM,12484,24.4,1:24:12 PM,12484
2:00:00 PM,13430,24.4,2:24:12 PM,13430
3:00:00 PM,14376,24.4,3:24:12 PM,14376
4:00:00 PM,15322,24.4,4:24:12 PM,15322
5:00:00 PM,16268,24.4,5:24:12 PM,16268
6:00:00 PM,17214,24.4,6:24:12 PM,17214
7:00:00 PM,18160,24.4,7:24:12 PM,18160
8:00:00 PM,19106,24.4,8:24:12 PM,19106
9:00:00 PM,20052,24.4,9:24:12 PM,20052
10:00:00 PM,20998,24.4,10:24:12 PM,20998
11:00:00 PM,21944,24.4,11:24:12 PM,21944
