Departure Time,# of departures,Travel Time (min),Arrival Time,# of arrivals
12:00:00 AM,303,41.1,12:41:12 AM,303
1:00:00 AM,1249,41.1,1:41:12 AM,1249
2:00:00 AM,2195,41.1,2:41:12 AM,2195
3:00:00 AM,3141,41.1,3:41:12 AM,3141
4:00:00 AM,4087,41.1,4:41:12 AM,4087
5:00:00 AM,5033,41.1,5:41:12 AM,5033
6:00:00 AM,5979,41.1,6:41:12 AM,5979
7:00:00 AM,6925,41.1,7:41:12 AM,6925
8:00:00 AM,7871,41.1,8:41:12 AM,7871
9:00:00 AM,8817,41.1,9:41:12 AM,8817
10:00:00 AM,9763,41.1,10:41:12 AM,9763
11:00:00 AM,10709,41.1,11:41:12 AM,10709
12:00:00 PM,11655,41.1,12:41:12 PM,11655
1:00:00 PM,12601,41.1,1:41:12 PM,12601
2:00:00 PM,13547,41.1,2:41:12 PM,13547
3:00:00 PM,14493,41.1,3:41:12 PM,14493
4:00:00 PM,15439,41.1,4:41:12 PM,15439
5:00:00 PM,16385,41.1,5:41:12 PM,16385
6:00:00 PM,17331,41.1,6:41:12 PM,17331
7:00:00 PM,18277,41.1,7:41:12 PM,18277
8:00:00 PM,19223,41.1,8:41:12 PM,19223
9:00:00 PM,20169,41.1,9:41:12 PM,20169
10:00:00 PM,21115,41.1,10:41:12 PM,21115
11:00:00 PM,22061,41.1,11:41:12 PM,22061
