Departure Time,# of departures,Travel Time (min),Arrival Time,# of arrivals
12:00:00 AM,377,17.6,12:17:12 AM,377
1:00:00 AM,1323,17.6,1:17:12 AM,1323
2:00:00 AM,2269,17.6,2:17:12 AM,2269
3:00:00 AM,3215,17.6,3:17:12 AM,3215
4:00:00 AM,4161,17.6,4:17:12 AM,4161
5:00:00 AM,5107,17.6,5:17:12 AM,5107
6:00:00 AM,6053,17.6,6:17:12 AM,6053
7:00:00 AM,6999,17.6,7:17:12 AM,6999
8:00:00 AM,7945,17.6,8:17:12 AM,7945
9:00:00 AM,8891,17.6,9:17:12 AM,8891
10:00:00 AM,9837,17.6,10:17:12 AM,9837
11:00:00 AM,10783,17.6,11:17:12 AM,10783
12:00:00 PM,11729,17.6,12:17:12 PM,11729
1:00:00 PM,12675,17.6,1:17:12 PM,12675
2:00:00 PM,13621,17.6,2:17:12 PM,13621
3:00:00 PM,14567,17.6,3:17:12 PM,14567
4:00:00 PM,15513,17.6,4:17:12 PM,15513
5:00:00 PM,16459,17.6,5:17:12 PM,16459
6:00:00 PM,17405,17.6,6:17:12 PM,17405
7:00:00 PM,18351,17.6,7:17:12 PM,18351
8:00:00 PM,19297,17.6,8:17:12 PM,19297
9:00:00 PM,20243,17.6,9:17:12 PM,20243
10:00:00 PM,21189,17.6,10:17:12 PM,21189
11:00:00 PM,22135,17.6,11:17:12 PM,22135
