12:00:00 AM,347,19.6,12:19:12 AM,347
1:00:00 AM,1293,19.6,1:19:12 AM,1293
2:00:00 AM,2239,19.6,2:19:12 AM,2239
3:00:00 AM,3185,19.6,3:19:12 AM,3185
4:00:00 AM,4131,19.6,4:19:12 AM,4131
5:00:00 AM,5077,19.6,5:19:12 AM,5077
6:00:00 AM,6023,19.6,6:19:12 AM,6023
7:00:00 AM,6969,19.6,7:19:12 AM,6969
8:00:00 AM,7915,19.6,8:19:12 AM,7915
9:00:00 AM,8861,19.6,9:19:12 AM,8861
10:00:00 AM,9807,19.6,10:19:12 AM,9807
11:00:00 AM,10753,19.6,11:19:12 AM,10753
12:00:00 PM,11699,19.6,12:19:12 PM,11699
1:00:00 PM,12645,19.6,1:19:12 PM,12645
2:00:00 PM,13591,19.6,2:19:12 PM,13591
3:00:00 PM,14537,19.6,3:19:12 PM,14537
4:00:00 PM,15483,19.6,4:19:12 PM,15483
5:00:00 PM,16429,19.6,5:19:12 PM,16429
6:00:00 PM,17375,19.6,6:19:12 PM,17375
7:00:00 PM,18321,19.6,7:19:12 PM,18321
8:00:00 PM,19267,19.6,8:19:12 PM,19267
9:00:00 PM,20213,19.6,9:19:12 PM,20213
10:00:00 PM,21159,19.6,10:19:12 PM,21159
11:00:00 PM,22105,19.6,11:19:12 PM,22105
