Departure Time,# of departures,Travel Time (min),Arrival Time,# of arrivals
12:00:00 AM,454,19.8,12:19:12 AM,454
1:00:00 AM,1400,19.8,1:19:12 AM,1400
2:00:00 AM,2346,19.8,2:19:12 AM,2346
3:00:00 AM,3292,19.8,3:19:12 AM,3292
4:00:00 AM,4238,19.8,4:19:12 AM,4238
5:00:00 AM,5184,19.8,5:19:12 AM,5184
6:00:00 AM,6130,19.8,6:19:12 AM,6130
7:00:00 AM,7076,19.8,7:19:12 AM,7076
8:00:00 AM,8022,19.8,8:19:12 AM,8022
9:00:00 AM,8968,19.8,9:19:12 AM,8968
10:00:00 AM,9914,19.8,10:19:12 AM,9914
11:00:00 AM,10860,19.8,11:19:12 AM,10860
12:00:00 PM,11806,19.8,12:19:12 PM,11806
1:00:00 PM,12752,19.8,1:19:12 PM,12752
2:00:00 PM,13698,19.8,2:19:12 PM,13698
3:00:00 PM,14644,19.8,3:19:12 PM,14644
4:00:00 PM,15590,19.8,4:19:12 PM,15590
5:00:00 PM,16536,19.8,5:19:12 PM,16536
6:00:00 PM,17482,19.8,6:19:12 PM,17482
7:00:00 PM,18428,19.8,7:19:12 PM,18428
8:00:00 PM,19374,19.8,8:19:12 PM,19374
9:00:00 PM,20320,19.8,9:19:12 PM,20320
10:00:00 PM,21266,19.8,10:19:12 PM,21266
11:00:00 PM,22212,19.8,11:19:12 PM,22212
