Departure Time,# of departures,Travel Time (min),Arrival Time,# of arrivals
12:00:00 AM,359,31,12:31:12 AM,359
1:00:00 AM,1305,31,1:31:12 AM,1305
2:00:00 AM,2251,31,2:31:12 AM,2251
3:00:00 AM,3197,31,3:31:12 AM,3197
4:00:00 AM,4143,31,4:31:12 AM,4143
5:00:00 AM,5089,31,5:31:12 AM,5089
6:00:00 AM,6035,31,6:31:12 AM,6035
7:00:00 AM,6981,31,7:31:12 AM,6981
8:00:00 AM,7927,31,8:31:12 AM,7927
9:00:00 AM,8873,31,9:31:12 AM,8873
10:00:00 AM,9819,31,10:31:12 AM,9819
11:00:00 AM,10765,31,11:31:12 AM,10765
12:00:00 PM,11711,31,12:31:12 PM,11711
1:00:00 PM,12657,31,1:31:12 PM,12657
2:00:00 PM,13603,31,2:31:12 PM,13603
3:00:00 PM,14549,31,3:31:12 PM,14549
4:00:00 PM,15495,31,4:31:12 PM,15495
5:00:00 PM,16441,31,5:31:12 PM,16441
6:00:00 PM,17387,31,6:31:12 PM,17387
7:00:00 PM,18333,31,7:31:12 PM,18333
8:00:00 PM,19279,31,8:31:12 PM,19279
9:00:00 PM,20225,31,9:31:12 PM,20225
10:00:00 PM,21171,31,10:31:12 PM,21171
11:00:00 PM,22117,31,11:31:12 PM,22117
